제목,설명,전화번호,도로명주소,분류
휴먼시아6단지(609동 지하주차장),민방위 대피소 : 휴먼시아6단지(609동 지하주차장),1666-1234,경기도 안산시 단원구 신길로 62 (신길동),민방위대피소
수정한양아파트,민방위 대피소 : 수정한양아파트,1666-1234,경기도 안산시 단원구 선부광장북로 67 (선부동),민방위대피소
그린빌주공9단지아파트(지하주차장),민방위 대피소 : 그린빌주공9단지아파트(지하주차장),1666-1234,경기도 안산시 단원구 안산천남로 245 (고잔동),민방위대피소
대동연립(지하주차장),민방위 대피소 : 대동연립(지하주차장),1666-1234,경기도 안산시 단원구 단원안길 61 (고잔동),민방위대피소
고려대학교안산병원(본관 지하주차장),민방위 대피소 : 고려대학교안산병원(본관 지하주차장),1666-1234,경기도 안산시 단원구 적금로 123 (고잔동),민방위대피소
팔곡마을주공아파트,민방위 대피소 : 팔곡마을주공아파트,1666-1234,경기도 안산시 상록구 정동1길 7 (팔곡일동),민방위대피소
축복교회(기독교한국침례회),민방위 대피소 : 축복교회(기독교한국침례회),1666-1234,경기도 안산시 상록구 소학길 34 (팔곡이동),민방위대피소
건양그린아파트 지하주차장 비상대피시설,민방위 대피소 : 건양그린아파트 지하주차장 비상대피시설,1666-1234,경기도 안산시 상록구 청룡길 25 (장상동),민방위대피소
안산국제비즈니스고등학교 체육관 지하 비상대,민방위 대피소 : 안산국제비즈니스고등학교 체육관 지하 비상대,1666-1234,경기도 안산시 상록구 수인로 1981 (장상동),민방위대피소
안산중앙병원,민방위 대피소 : 안산중앙병원,1666-1234,경기도 안산시 상록구 구룡로 87 (일동),민방위대피소
이동 푸르지오2차아파트 지하주차장,민방위 대피소 : 이동 푸르지오2차아파트 지하주차장,1666-1234,경기도 안산시 상록구 안산천남1로 70 (이동),민방위대피소
이동 주공그린빌 주차장,민방위 대피소 : 이동 주공그린빌 주차장,1666-1234,경기도 안산시 상록구 안산천남1로 100 (이동),민방위대피소
현대쇼핑(월피동),민방위 대피소 : 현대쇼핑(월피동),1666-1234,경기도 안산시 상록구 예술광장로 19 (월피동),민방위대피소
다농마트 (지하주차장),민방위 대피소 : 다농마트 (지하주차장),1666-1234,경기도 안산시 상록구 예술광장로 1 (월피동),민방위대피소
엠제이프라자 지하주차장 비상대피시설,민방위 대피소 : 엠제이프라자 지하주차장 비상대피시설,1666-1234,경기도 안산시 상록구 갯다리길 7 (수암동),민방위대피소
동영센트럴타워 지하주차장 비상대피시설,민방위 대피소 : 동영센트럴타워 지하주차장 비상대피시설,1666-1234,경기도 안산시 상록구 원당골길 17 (수암동),민방위대피소
성포동 선경아파트 지하주차장,민방위 대피소 : 성포동 선경아파트 지하주차장,1666-1234,경기도 안산시 상록구 예술광장1로 131 (성포동),민방위대피소
성포동 삼환연립 지하주차장,민방위 대피소 : 성포동 삼환연립 지하주차장,1666-1234,경기도 안산시 상록구 충장로 452 (성포동),민방위대피소
성포동 동산빌라 지하주차장,민방위 대피소 : 성포동 동산빌라 지하주차장,1666-1234,경기도 안산시 상록구 충장로 456 (성포동),민방위대피소
사사동 현대아파트 지하주차장,민방위 대피소 : 사사동 현대아파트 지하주차장,1666-1234,경기도 안산시 상록구 양지마을1길 81 (사사동),민방위대피소
상록구청(지하주차장),민방위 대피소 : 상록구청(지하주차장),1666-1234,경기도 안산시 상록구 석호로 110-0 (사동),민방위대피소
안산동산교회 복지문화센터(지하1층~2층 주차장),민방위 대피소 : 안산동산교회 복지문화센터(지하1층~2층 주차장),1666-1234,경기도 안산시 상록구 석호공원로 8 (사동),민방위대피소
숲속마을아파트,민방위 대피소 : 숲속마을아파트,1666-1234,경기도 안산시 상록구 삼리로 24 (사동),민방위대피소
푸른마을 3단지아파트(지하주차장),민방위 대피소 : 푸른마을 3단지아파트(지하주차장),1666-1234,경기도 안산시 상록구 삼리로 86 (사동),민방위대피소
푸른마을 4단지아파트(지하주차장),민방위 대피소 : 푸른마을 4단지아파트(지하주차장),1666-1234,경기도 안산시 상록구 용하공원로 7 (사동),민방위대피소
고향마을아파트(지하주차장),민방위 대피소 : 고향마을아파트(지하주차장),1666-1234,경기도 안산시 상록구 용하공원로 39 (사동),민방위대피소
늘푸른아파트(지하주차장),민방위 대피소 : 늘푸른아파트(지하주차장),1666-1234,경기도 안산시 상록구 중보로 22 (사동),민방위대피소
푸른마을2단지아파트(지하주차장),민방위 대피소 : 푸른마을2단지아파트(지하주차장),1666-1234,경기도 안산시 상록구 중보로 16 (사동),민방위대피소
상록마을아파트,민방위 대피소 : 상록마을아파트,1666-1234,경기도 안산시 상록구 삼리로 23 (사동),민방위대피소
안산고잔6차푸르지오아파트,민방위 대피소 : 안산고잔6차푸르지오아파트,1666-1234,경기도 안산시 상록구 해양1로 11 (사동),민방위대피소
안산고잔9차푸르지오아파트,민방위 대피소 : 안산고잔9차푸르지오아파트,1666-1234,경기도 안산시 상록구 해양로 16 (사동),민방위대피소
안산고잔7차푸르지오아파트,민방위 대피소 : 안산고잔7차푸르지오아파트,1666-1234,경기도 안산시 상록구 해양1로 30 (사동),민방위대피소
